name,"replacement_name",dates_active,"peak_classification","sustained_wind_speeds",pressure,"areas_affected",damage_USD,deaths,retired_at
Fanapi,Rai,"September 14 – 21, 2010",Typhoon,175 km/h (110 mph),930 hPa (27.46 inHg),"Taiwan, China",$1 billion,105,2010S
Utor,Barijat,"August 8 – 18, 2013",Typhoon,195 km/h (120 mph),925 hPa (27.32 inHg),"Philippines, China",$3.56 billion,97,2010S
Kai-tak,Yun-yeung,"December 13 – 23, 2017",Tropical storm,75 km/h (45 mph),994 hPa (29.35 inHg),"Philippines, Malaysia",$75 million,83,2010S
Koppu,Koguma,"October 12 – 21, 2015",Typhoon,185 km/h (115 mph),925 hPa (27.32 inHg),Philippines,$309 million,62,2010S
Rumbia,TBA,"August 15 – 18, 2018",Tropical storm,85 km/h (50 mph),985 hPa (29.09 inHg),"Japan, China",$5.36 billion,53,2010S
Melor,Cempaka,"December 9 – 17, 2015",Typhoon,175 km/h (110 mph),935 hPa (27.61 inHg),Philippines,$149 million,51,2010S
Meranti,Nyatoh,"September 9 – 16, 2016",Typhoon,220 km/h (140 mph),890 hPa (26.28 inHg),"Philippines, Taiwan, China",$4.8 billion,47,2010S
Soudelor,Saudel,"July 29 – August 11, 2015",Typhoon,215 km/h (130 mph),900 hPa (26.58 inHg),"Mariana Islands, Japan, Taiwan, China",$3.84 billion,40,2010S
Sarika,Trases,"October 13 – 19, 2016",Typhoon,175 km/h (110 mph),935 hPa (27.61 inHg),"Philippines, China, Vietnam",$876 million,37,2010S
Mujigae,Surigae,"September 30 – October 5, 2015",Typhoon,155 km/h (100 mph),950 hPa (28.05 inHg),"Philippines, China",$4.25 billion,29,2010S
Hato,Yamaneko,"August 19 – 24, 2017",Typhoon,140 km/h (85 mph),965 hPa (28.50 inHg),"Philippines, Taiwan, China, Vietnam",$6.82 billion,24,2010S
Haima,Mulan,"October 14 – 22, 2016",Typhoon,215 km/h (130 mph),900 hPa (26.58 inHg),"Philippines, Taiwan, China",$976 million,19,2010S
Vicente,Lan,"July 18 – 25, 2012",Typhoon,150 km/h (90 mph),950 hPa (28.05 inHg),"Philippines, China Vietnam, Laos, Burma",$324 million,13,2010S
Nock-ten,Hinnamnor,"December 20 – 28, 2016",Typhoon,195 km/h (120 mph),915 hPa (27.02 inHg),Philippines,$128 million,13,2010S
Fitow,Mun,"September 29 – October 7, 2013",Typhoon,140 km/h (85 mph),960 hPa (28.35 inHg),"China, Taiwan, Japan",$10.4 billion,12,2010S
Sonamu,Jongdari,"January 1 – 10, 2013",Severe tropical storm,95 km/h (60 mph),990 hPa (29.23 inHg),"Philippines, Vietnam, Malaysia",Minimal,2,2010S
